Category,Subcategory,Extracted Information,Sentiment,Impact Score
material_impact,revenue_growth,"INE284S01014 
 
Dear Sir/Madam, 
 
 
Subject: Transcripts of Analysts/Investor Meet/ Earnings Call of the Company pertaining to Q1 of FY 
2023-24 
Please find enclosed the transcripts of the Analysts/Investor Meet/ Earnings Call of Q1 FY 2023-24 held 
on July 27, 2023.",Negative,Low
material_impact,revenue_growth,"Earnings Conference Call 
 
July 27, 2023 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
ANALYST: 
MR.",Neutral,Low
strategic_changes,leadership_changes,"SANJAY THAPAR – CEO & EXECUTIVE DIRECTOR 
MR.",Neutral,Low
material_impact,revenue_growth,"DEVANSHI DHRUVA – HEAD – INVESTOR  RELATIONS 
 
 
 
 
SJS Enterprises 
July 27, 2023 
 
Moderator: 
Ladies and gentlemen, good day and welcome to the SJS Enterprises 1Q FY24 Earnings 
Conference Call hosted by JM Financial.",Positive,Medium
material_impact,revenue_growth,"Ronak Mehta: 
From JM Financial Institutional Securities, I welcome you all to 1Q FY24 Earnings Call of SJS 
Enterprises.",Positive,Medium
strategic_changes,leadership_changes,"From the Management Team, we have with us today, Mr. K A Joseph – Managing 
Director and Co-Founder; Mr. Sanjay Thapar - CEO and Executive Director; Mr. Mahendra 
Naredi - Chief Financial Officer and Ms. Devanshi Dhruva – Head, Investor Relations.",Neutral,Low
strategic_changes,acquisitions,"I will pass on the dais 
to Mr. K A Joseph – our M.D. and Co-Founder, who will make the opening remarks and brief 
you all about our latest acquisition, Walter Pack India's Performance.",Positive,Medium
strategic_changes,leadership_changes,"Then he will hand it over 
to Mr. Sanjay Thapar – our CEO and Executive Director, who will take you through some of the 
slides of our presentation that have been uploaded on the stock exchange as well as on our 
website.",Neutral,Low
strategic_changes,acquisitions,"While Sanjay and Mahendra will take you all through the presentation later, I'm happy to inform 
that we have completed the transformative acquisition of Walter Pack India within the set 
timeline.",Positive,Medium
strategic_changes,acquisitions,"After the successful acquisition of Exotech and the robust performance we delivered there in the 
last two years, we have gained more confidence in our execution capabilities of acquiring and 
integrating companies that could take SJS to the next level of growth.",Positive,Medium
strategic_changes,acquisitions,Walter Pack  acquisition has opened up a plethora of new opportunities for us.,Positive,Low
strategic_changes,acquisitions,"With this 
acquisition, we have penetrated deeper in passenger vehicles and consumer appliances segment, 
thereby further reducing our two wheeler dependence.",Neutral,Low
material_impact,revenue_growth,"According to SJS Q1 FY24 pro forma 
numbers, which includes Walter Pack India, 36% revenue contribution would be from two 
wheelers, 36% from passenger vehicles and 28% from consumer appliances and others.",Neutral,Low
strategic_changes,acquisitions,"Both 
Exotech and Walter Pack acquisition have helped us to balance our portfolio concentration from 
a large two wheeler player to an overall automotive and consumer appliances player.",Positive,Low
strategic_changes,acquisitions,"With Walter Pack acquisition, we have not only acquired a very large growth and high margin 
business at a good valuation, but at the same time achieved many key strategic objectives in 
terms of addition of new and emerging technologies, new customers, manufacturing capabilities 
and increase management bandwidth.",Positive,Medium
material_impact,profit_margins,"With Walter Pack acquisition, we have not only acquired a very large growth and high margin 
business at a good valuation, but at the same time achieved many key strategic objectives in 
terms of addition of new and emerging technologies, new customers, manufacturing capabilities 
and increase management bandwidth.",Positive,Medium
material_impact,revenue_growth,"This will ensure seamless integration in the 
short term and harnessing optimum revenue synergies in the medium term.",Positive,Medium
material_impact,revenue_growth,"Walter Pack Q1 witnessed a strong 
revenue growth of 21% YoY and a robust margin performance with EBITDA margins around 
31.5%.",Positive,Medium
